Rank,Team ID,Team Name,Total Score,Challenges Solved,Number of Challenges
1,l8b7p3dc146619f,5srna,40,"Loadiiing, Double Fun Puzzle, CSploitable",3
2,bxkh1x8m3u176tr,Data Saiyans,40,"Loadiiing, Double Fun Puzzle, CSploitable",3
3,15sq6m50b2ul219,Sh5mo,40,"Loadiiing, CSploitable, Double Fun Puzzle",3
4,tbe3j67kac28b12,0-Dai,30,"Double Fun Puzzle, Loadiiing",2
5,754k826870v18og,mohajimoun,20,"Loadiiing, CSploitable",2
6,5943u65x5sy759z,AM1N3S,20,"CSploitable, Loadiiing",2
7,t17uq3086g8pp1u,Red Cat,20,"Loadiiing, CSploitable",2
8,j3ls1r88tow59b5,Sqrt(9),20,"Loadiiing, CSploitable",2
9,ut349167t38t866,Anonymous,20,"Loadiiing, CSploitable",2
10,507x4933ln818t5,DeepSecure,20,"Loadiiing, CSploitable",2
11,30658q587l3k0u5,Hashiras,20,"Loadiiing, CSploitable",2
12,w3ncb9h6q9d72x7,Awsoms,20,"Loadiiing, CSploitable",2
13,39cjm55f38m24p4,Zero-Day Bounty,20,"Loadiiing, CSploitable",2
14,3gi982nwys22n97,khar9ana,10,Loadiiing,1


